1  Falsafa tushunchasining ma’nosi?
132  Tafakkur qonunlari va shakllari haqidagi fan qanday nomlanadi? 
A  #Mantiq
B  Dialektika
C  Etika
D  Tarix
133  Materialistlar bu - ……?
A  #Olam  moddiy  asosga ega, ong materiyaning mahsuli deyuvchilar
B  Ongni birinchi o‘ringa qo‘yuvchilar
C  Olamning markaziga madaniyatni qo‘yuvchilar
D  Olam markaziga xudoni qo’yuvchilar 
134  Ekzistensializm tarafdorlarining eng yirik vakillari qaysi javobda to‘g‘ri ko‘rsatilgan?
A  #Kamyu, Sartr
B  Fixte, Golbax
C  Gogol, Turgenev
D  Kant, Gegel
135  Agnostitsizm namoyondalarining asosiy g‘oyasi qaysi javobda to‘g‘ri ko‘rsatilgan?
A  #Dunyoni bilish mumkin emas
B  Dunyoni faqat sezgilar orqali bilish mumkin
C  Dunyoni to‘liq bilish mumkin
D  Dunyoni aqliy bilish mumkin
136  Falsafaning qaysi funksiyasi insonning o‘z o‘zini anglashda yetakchi o‘rinni egallaydi?
A  #Dunyoqarash funksiyasi
B  Mehnatga layoqat
C  O‘yin 
D  Metodologik
137  Falsafa fanining mohiyati bu - ...?
A  #Borliq to‘g‘risidagi ob’yektiv bilimlarni aniqlash va tizimlashtirish, jamiyatning pragmatik ehtiyojlariga javob berish
B  Borliq to‘g‘risidagi sub’yektiv bilimlar
C  Dalillarsiz aniqlash
D  Hujjatlarni yig‘ish 
138  Mantiq qanday fan?
A  #To‘g‘ri fikrlash shakllari va qonunlari haqidagi fan
B  Matematik nazariyalar to‘plami
C  Til tahlili bilan shug‘ullanuvchi fan
D  San’at asarlarini tadqiq qiluvchi soha
139  Formal mantiqda fikrlarning mazmuniga qaraganda nima muhimroq?
A  #Fikrlarning shakli
B  Fikrlarning hissiy jihati
C  Fikrlarning subyektivligi
D  Fikrlarning individual xususiyatlari
140  Aristotel qaysi mantiq tizimining asoschisi hisoblanadi?
A  #An’anaviy mantiq
B  Matematik mantiq
C  Modal mantiq
D  Ekzistensial semantika
141  Dialektik mantiqning predmeti nima?
A  #Tafakkur jarayoni
B  Tabiiy  qonuniyatlari
C  Matematik formulalar
D  Ritorik munosabatlar
142  Mantiqning asosiy shakllaridan biri toping?
A  #Hukmlar
B  Tasavvurlar
C  Emosiyalar
D  O‘yinlar
143  Formal mantiq nimani o‘rganadi?
A  # To‘g‘ri tafakkurlashning shakllari va qonunlarini
B  Fikrlar va hissiyotlarini
C  Tilning sintaktik tahlilini
D  Muloqot usullarini
144  Formal mantiqning rivojlanish bosqichlari qaysilar?
A  #An’anaviy va matematik
B  Dialektik va intuitiv
C  Induktiv va deduktiv
D  Semantik va sintaktik
145  Mantiq qanday usullar bilan yangi bilimlarni yaratadi?
A  #xulosa chiqarish asosida
B  Tajriba va kuzatuv asosida
C  Hissiy idrok orqali
D  Til tahlili yordamida
146  Formal mantiqni boshqa fanlardan ajratib turuvchi asosiy xususiyat nima?
A  #Fikrlarning shakli nuqtai nazaridan o‘rganilishi
B  Fikrlarning hissiy mazmuni bilan bog‘liqligi
C  Tilning semantik tomonini tadqiq qilishi
D  Kundalik nutqni tahlil qilishi
147  Dialektik mantiqning asoschisi kim hisoblanadi?
A  #Gegel
B  Aristotel
C  G.Frege
D  D.Bul
148  Zamonaviy mantiqda validlik deganda nimani anglatadi?
A  #Xulosaning hukmlardan kelib chiqishi
B  Hukmlarning hissiy asoslanishi
C  Fikrlarning bevosita kuzatuv natijasida hosil bo‘lishi
D  Xulosaning dalillardan mustaqil bo‘lishi
149  Formal mantiqda “P&Q” degan ibora nimani anglatadi?
A  #Birlashtiruvchi (konunktiv) hukmning formulasini
B  Fikrlarning qarama-qarshiligini
C  Hukmlarning dalilsizligi
D  Hissiy bog‘lanishni
150  Dialektik mantiqni an’anaviy mantiqdan farqlovchi asosiy tamoyil nima?
A  #Harakat va o‘zgarish mantig‘iga asoslanishi
B  Fikrlarning shakliga e’tibor berishi
C  Fikrlarni hissiy tomondan tahlil qilishi
D  Tilda mulohazalarni mustahkamlashi
151  Formal mantiqda xulosa chiqarishning asosiy tamoyili nima?
A  #Hulosa asoslari bolgan hukmlarning mantiqiy bog‘lanishi
B  Kuzatuvlarni qayta ishlash
C  Mazmunni tahlil qilish orqali qaror qabul qilish
D  Intuitiv qarashlardan foydalanish
152  Formal mantiqda P va Q belgilari nimani ifodalaydi?
A  #Har qanday hukmlarni
B  Sezgilarni va hissiyotlarni
C  Dialektik tahlil elementlarini
D  Ritorik munosabatlarni
153  Formal mantiqning rivojlanishiga qaysi olim katta hissa qo‘shgan?
A  #G.Leybnits
B  Sokrat
C  Kant
D  Dekart
154  Formal mantiqda “A=A” degan ifoda nimani bildiradi?
A  #Ayniyat qonunini
B  Ziddiyat qonunini
C  Uchinchi istisno qonunini
D  Dalillash usulini
155  Ziddiyat qonuni qaysi fikrlarni inkor etadi?
A  #Qarama-qarshi hukmlar bir vaqtda chin bo‘lishini
B  Mazmun va shakl birligini
C  Dialektik tahlilning natijalarini
D  Hukmlarning bir-biridan mustaqil bo‘lishini
156  Dialektik mantiq nima bilan shug‘ullanadi?
A  #Tafakkurning o‘zgarish va rivojlanish qonuniyatlarini o‘rganish
B  Fikrlarning bevosita kuzatuv natijasida hosil bo‘lishini tahlil qilish
C  Tabiatdagi hodisalarni tasvirlash
D  Matematik mantiq elementlarini qo‘llash
157  Formal mantiqning asoschisi kim?
A  #Aristotel
B  Dekart
C  Kant
D  Gegel
158  Formal mantiqning asosiy qonunlaridan biri qaysi?
A  #Yetarli asos qonuni
B  Qarama-qarshiliklar birligi va kurashi  qonuni
C  Inkorni inkor qonuni
D  Xulosalarning mazmuni
159  Formal mantiqda xatolar qaysi ikki turga bo‘linadi?
A  #Paralogizm va sofizm
B  Intuitsiya va emotsiya
C  Tasviriy va rasmiy
D  Kuzatuv va tajriba
160  Mantiqda “to‘g‘ri fikr” deganda nimani anglatiladi?
A  #Haqiqatga mos keluvchi fikrni
B  Dalilsiz shakllangan fikrni
C  Hissiy taassurotlarga asoslangan fikrni
D  Xatolarni o‘z ichiga olgan fikrni
161  Formal mantiq qaysi uslubiy vositalarni o‘rganadi?
A  #Tafakkur shakllarini va ulardagi belgilarning o‘zaro bog‘lanishini
B  His-tuyg‘ularni va ularning tasviriy ifodalarini
C  Til va nutqning grammatik qoidalarini
  Ritorikaning samaradorligini
162  “Fikr” deganda nimani tushunamiz?
A  #Bilish jarayonining natijasi sifatida hukmlar yoki tushunchalar
B  Faqat hissiy idrok natijasida hosil bo‘lgan ma’lumotlar
C  Tabiiy til orqali ifodalangan hislar
D  Mazmuni dalillarsiz tasvirlangan ma’lumotlar
163  Tafakkur jarayonining asosiy belgisi nima?
A  #Umumlashgan obrazlarda voqelikni aks ettirishi
B  His-tuyg‘ularni ifodalashi
C  Bevosita kuzatuv orqali shakllanishi
D  Tilda tasviriy ifodalanishi
164  Mantiqiy tahlilda qanday til turlari qo‘llaniladi?
A  #Tabiiy va formallashgan tillar
B  Tabiiy va hissiy tillar
C  Ritorik va tasviriy tillar
D  Matematik va amaliy tillar
165  Dialektik mantiq qaysi kategoriyalar bilan ishlaydi?
A  #Umumiy va universal qonuniyatlar bilan
B  Dalillash va tasvirlash usullari bilan
C  Intuitsiya va emotsiyalar bilan
D  Kuzatuv va tajribalar bilan
166  Formal mantiqning qaysi qonuniga ko‘ra “Ma’lum bir predmet yoki hodisa haqida aytilgan fikr ayni bir muhokama doirasida ayni bir vaqtda o‘z-o‘ziga tengdir.”
A  #Ayniyat qonuni
B  Nozidlik (ziddiyatsizlik) qonuni
C  Uchinchisi istisno qonuni
D  Yetarli asos qonuni
167  Formal mantiqning qaysi qonuniga ko‘ra “ikki o‘zaro bir-birini istisno qiluvchi (qarama-qarshi yoki zid) fikrlar bir vaqtda va bir xil nisbatda birdaniga chin bo‘lishi mumkin emas, hech bo‘lmaganda ulardan biri, albatta, yolg‘on bo‘ladi.”
A  #Nozidlik (ziddiyatsizlik) qonuni
B  Ayniyat qonuni
C  Uchinchisi istisno qonuni
D  Yetarli asos qonuni
168  Formal mantiqning qaysi qonuniga ko‘ra “fikrning to‘liq mazmunini qamrab olib, bayon qilingan ikki zid fikrdan biri chin, boshqasi yolg‘on, uchinchisiga o‘rin yo‘q.
A  #Uchinchisi istisno qonuni
B  Ayniyat qonuni
C  Nozidlik (ziddiyatsizlik) qonuni
D  Yetarli asos qonuni
169  Formal mantiqning qaysi qonuniga ko‘ra har bir buyum va hodisaning real asosi bo‘lgani kabi, ularning in’ikosi bo‘lgan fikr-mulohazalar ham asoslangan bo‘lishi kerak.
A  #Yetarli asos qonuni
B  Ayniyat qonuni
C  Nozidlik (ziddiyatsizlik) qonuni
D  Uchinchisi istisno qonuni
170  Xulosa chiqarish…
A  #Bir va undan ortiq chin hukmlardan ma’lum qoidalar yordamida yangi bilimlarni keltirib chiqaruvchi tafakkur shaklidir.
B  Fikrning harakat yo‘nalishidir.
C  Umumiy bilimdan juz’iy bilimga o‘tishdir.
D  Juz’iy bilimdan umumiy bilimga o‘tishdir.
171  Qanday  shartlar bajarilganda xulosa chin bo‘ladi?
A  #Asoslar chin xukmlar bo‘lishi va xulosa chiqarish qoidalariga amal qilinishi kerak.
B  Asoslarning chin xukmlar bo‘lishi yetarli 
C  Asoslar faqat tasdiq xukmlar bo‘lishi kerak
D  Xulosa chiqarish qoidalariga amal qilinishi kerak.
172  Fikrning harakat yo‘nalishiga ko‘ra xulosa chiqarishning qanday turlari bor?
A  #Deduktiv xulosa chiqarish, induktiv xulosa chiqarish, analogiyaga asoslanib xulosa chiqarish
B  Bevosita xulosa chiqarish, bilvosita xulosa chiqarish
C  Induktiv xulosa chiqarish, analogiyaga asoslanib xulosa chiqarish
D  Deduktiv xulosa chiqarish, bevosita xulosa chiqarish
173  Tafakkur qonuni nima?
A  #Fikrlash elementlari o‘rtasidagi ichki zaruriy aloqadorlik
B  Fikr yuritish qoidalari yig‘indisi.         
C  Fikr yuritish usuli.
D  Fikrlash shakli.
174  Tafakkur shakli nima?
A  #Fikrning mazmunini tashkil etuvchi elementlarning bog‘lanish usuli
B  Fikrning yaqqol ifodalanishi        
C  Fikrning tilda ifodalanishi
D  Til va tafakkurning bir-biriga to‘la mos kelishi
175  Mantiqiy tafakkur qanday qonunlarga bo‘ysunadi?
A  #Dialektik va formal mantiq qonunlariga   
B  Yakka va umumiy qonunlarga  
C  Ob’ektiv va subektiv qonunlarga  
D  Fizik qonunlarga  
176  Dialektik mantiq qaysi qonunlarga asoslanadi?
A  #Qarama-qarshiliklar birligi va kurashi qonuni, miqdor o‘zgarishlaridan sifat o‘zgarishlariga o‘tish va inkorni inror qonuniga
B  Formal mazmun qonunlariga
C  Kuzatuv va tajriba qonunlariga
D  Tilda ifoda qonunlariga
177  Mantiq atamasiga berilgan nominal ta’rifni aniqlang:
A  Mantiq arabcha so‘z bo‘lib, nutq, fikr , aql ma’nolarini bildiradi.
B  Mantiq tafakkur qonunlarini o‘rganuvchi fan
C  Mantiq tafakkur qonunlari va shakllarini o‘rganuvchi fan
D  Mantiq tafakkurni o‘rganuvchi fan
178  Dialektikaning asosiy tamoyillari?
A  #O‘zaro aloqadorlik va rivojlanish, tarixiylik, sababiyat, tizimlilik 
B  Insonning axloqiy qarashlari
C  Tajribaga asoslangan natijalar
D  Qadimgi mifologik e’tiqodlar
179  Falsafada metodologiya nima uchun muhim?
A  #Bilish jarayonini aniqlash va tartibga solish uchun 
B  Torsion maydonlarni aniqlash uchun
C  Qadriyatlarni ifodalash uchun
D  Tasodifiy bilimlarni shakllantirish uchun
180  Uyg‘onish davrining asosiy g‘oyasi?
A  #San’at va inson mavzusi 
B  Tabiat hodisalari
C  Olamning diniy tushunisha
D  Fan va texnologiyaga
181  Falsafiy antropologiya nimani o‘rganadi?
A  #Inson va uning mohiyatini 
B  Tafakkur qonunlarini
C  Falsafiy mushohadalarni
D  Tabiat qonunlarini
182  Falsafaning “aksiologik” funksiyasi nimani anglatadi?
A  #Qadriyatlarni o‘rganish va baholashni 
B  Ijtimoiy munosabatlarni o‘rganishni
C  Axloqiy me’yorlarni mustahkamlashni
D  Ilmiy bilimlarni shakllantirishni
183  Ob’yektiv idealizmning asosiy g‘oyasi nima?
A  #Olamning asosi  ilohiy g’oya 
B  Shaxsiy tajribaga asoslangan tushunchalar
C  Bilim va qadriyatlarning nisbiyligi
D  Borliq faqat materiyaga asoslangan
184  Qadimgi Milet maktabining asoschisi kim?
A  #Fales, Anaksimen, Anaksimandr
B  Platon
C  Sokrat
D  Epikur
185  Aristotelning “Oltin o‘rta” g’oyasi qaysi ta’limotida ishlab chiqilgan?
A  #Axloqiy
B  Irratsional
C  Materialistik
D  Sotsialistik
186  «Atomlar va bo‘shliqdan boshqa hech narsa mavjud emas» deb da’vo qilgan faylasuf kim?
A  #Demokrit
B  Epikur
C  Platon
D  Anaksimandr
187  Platon (Aflotun)ning  asosiy ta’limoti qanday nomlanadi?
A  #g’oyalar haqidagi ta’limot
B  Empirizm
C  Ratsionalizm
D  Orakullar
188  “Mayevtika” usuliga asoslangan Suqrot ta’limoti qanday nomlanadi?
A  #Dialektik usul
B  Empirizm
C  Ekzistensial usul
D  “Olijanob yolg‘on” ta’limoti
189  Stoik maktabining asoschisi kim?
A  #Kitiylik Zenon
B  Platon
C  Epikur
D  Pifagor
190  Qaysi fikr Platon (Aflotun) falsafasiga tegishli?
A  #G‘oyalar yoki shakllar voqelikning asosi
B  Olam sezgilar orqali idrok qilinadi
C  Mavjud hamma narsa materiya va shakldan iborat
D  Mantiq faqat amaliy fandir
191  Xristian falsafasida e’tiqod va aql sintezini birinchi bo‘lib kim taklif qilgan?
A  #Foma Akvinskiy
B  Avgustin Avreliy
C  Kenterberilik Anselm
D  Damashqlik Yuhanno
192  Foma Akvinskiy fikricha “hamma narsaning asosiy sababi” bu nima?
A  #Xudo
B  Inson
C  Shakl
D  Materiya
193  Avgustin xristianlik kontekstida qanday falsafiy ta’limotni taqdim etgan?
A  #Platonizm
B  Dualizm
C  Empirizm
D  Monizm
194  Foma Akvinskiy falsafasida “aql” ……..?
A  #e’tiqodni mustahkamlaydi
B  E’tiqodga mutlaqo ziddir
C  Jamiyatning rivoji
D  Falsafada uning ma’nosi yo‘q
195  Sxolastikaning asoschisi kim?
A  #Foma Akvinskiy
B  Avgustin Avreliy
C  Buyuk Albert
D  Kenterberilik Anselm
196  O‘rta asr falsafasi kontekstida Nitsshe falsafasiga qaysi fikr ko‘proq mos keladi?
A  #Qadriyatlarni qayta baholash
B  Oqilonalik va Xudoga ishonish
C  Metafizik haqiqat
D  Mo‘jizalarning roli
197  Makiavellining “Hukmdor” asarida qanday falsafiy ta’limotni ishlab chiqadi?
A  #Siyosatdagi realism
B  Fazilat axloqi
C  Siyosatdagi platonizm
D  Ijtimoiy adolat tushunchasi
198  Ongsizlik nima?
A  #Insonning ongli faoliyatida ong bilan boshqarib bo‘lmaydigan lahza
B  Insonga ongsizlik xos emas
C  Insonning bolalik davridagi xulq atvori
D  Insoning qarilik davridagi xulq atvori
199  Qaysi faylasuf Yangi davrda empirizm asoschisi bo‘lgan?
A  #Bekon
B  Dekart
C  Lokk
D  Spinoza
200  Qaysi falsafiy yo‘nalish Rene Dekart bilan ko‘proq bog‘langan?
A  #Ratsionalizm
B  Empirizm
C  Psixoanaliz
D  Metafizika
201  “Dekart dualizmi” nima?
A  #Materiya va ruhning ajralishi
B  Xudo va insonning birligi
C  Metafizikada harakat tamoyili
D  Mantiqning ta’rifi
202  Jon Lokk fikrini toping?
A  #Odam “toza varaq” bo‘lib tug‘iladi (tabula rasa)
B  Bilim ichki g‘oyalar orqali keladi
C  Haqiqatni faqat sezgi orqali bilish mumkin
D  Barcha bilimlar mantiqqa asoslanadi
203  Spinoza Xudoning tabiati haqida qanday ta’limotni ilgari surgan?
A  #Panteizm
B  Teizm
C  Ateizm
D  Agnostitsizm
204  Immanuil Kant qanday bilish nazariyasini ishlab chiqqan?
A  #Krititsizm 
B  Empirizm
C  Idealizm
D  Pozitivizm
205  Kantning “kategoriyalar” tushunchasi nimada namoyon bo‘ladi?
A  #Aqlni tashkil etishda
B  Tabiatni tasniflashda
C  Narsalarning mohiyatini aniqlashda
D  Inson ongi tushunchasida
206  Georg Vilgelm Fridrix Gegel qanday falsafiy ta’limotni ishlab chiqqan?
A  #Dialektik idealism
B  Pozitivizm
C  Tabiiy materialism
D  Ekzistensializm
207  “Ruhdagi hayot” va “o‘zi uchun mavjud bo‘lish” tushunchalarini hozirgi zamon faylasuflaridan qaysi biri ishlab chiqqan?
A  #Xaydegger
B  Nitsshe
C  Sartr
D  Marks
208  Pozitivizm asoschisi kim?
A  #Ogyust Kont
B  Sharl Leybnits
C  Karl Marks
D  Jan-Pol Sartr
209  Fridrix Nitsshening “ibtidoiy ong” falsafasi nimadan iborat?
A  #Qadriyatlarni qayta baholash
B  Dinning ahamiyatini tan olish
C  Ruhning boqiyligini tan olish
D  Metafizik abstraksiyalarni yengish
210  Martin Xaydegger “Borliq va vaqt” asarida qanday falsafiy konsepsiyani ishlab chiqadi?
A  #Inson mavjudligini tahlil qilish
B  Madaniyatning hayotdagi o‘rni
C  Ong ontologiyasi
D  Obyektiv voqelik
211  Fenomenologiyaning asoschisi kim?
A  #Gusserl
B  Xaydegger
C  Sartr
D  Marks
212  Mishel Fuko falsafada qanday ta’limotni rivojlantiradi?
A  #Poststrukturalizm
B  Strukturizm
C  Gumanizm
D  Nisbiylik nazariyasi
213  Jan Pol Sartr falsafasida erkinlik qanday rol o‘ynaydi?
A  #Erkinlik borliqning ajralmas qismidir
B  Erkinlik - bu afsona
C  Erkinlik Xudoga bog‘liq
D  Erkinlik qo‘rquvni cheklashdir
214  Karl Marks nomi bilan qaysi falsafiy oqim bog‘langan?
A  #Marksizm
B  Ekzistensializm
C  Strukturizm
D  Postmodernizm
215  Jon Rouls qanday falsafiy yondashuvni rivojlantiradi?
A  #Adolat nazariyasi
B  Dekonstruksiya
C  Feministik falsafa
D  Naturalizm
216  “Absurd” tushunchasi ekzistensializmda qanday rol o‘ynaydi?
A  #Borliqning ma’nosizligi
B  Hayot mazmunining Manbai
C  Emotsional tashvish Manbai
D  Evolyutsiyaga intilish
217  Postmodernizm falsafasining asosiy g‘oyasi nimadan iborat edi?
A  #G‘oyalarga tarixiy kontekst nuqtai nazaridan qarash kerak
B  Haqiqat universaldir
C  Metafizika barcha falsafiy muammolarning manbaidir
D  Biz falsafaning kelib chiqishiga qaytishimiz kerak
218  Qaysi faylasuf psixoanalizning asoschisi bo‘lgan?
A  #Zigmund Freyd
B  Jan-Pol Sartr
C  Karl Gustav Yung
D  Alfred Adler
219  “Kommunikativ jamiyat” tushunchasi Yurgen Xabermas falsafasida qanday rol o‘ynaydi?
A  #O‘zaro ta’sirlarni til orqali anglash
B  Siyosiy diktatura g‘oyasini qo‘llab-quvvatlash
C  Iqtisodiy me’yorlarning o‘rnatilishi
D  Iqtisodiyotning jamiyatning asosiy instituti sifatida tan olinishi
220  Qaysi faylasuf germenevtikaning asoschisi hisoblanadi?
A  #Xans-Georg Gadamer
B  Dekart
C  Bekon
D  Rikkardo Pitsolato
221  Qadimgi Hindistonda Vedalar kitobida qanday falsafiy tushunchalar mavjud?
A  #Karma va Reinkarnatsiya
B  Panteizm va Monizm
C  Ontologiya va Epistemologiya
D  Dialektika va Materiya
222  Qadimgi Misrda «Maat» tushunchasi nima anglatadi?
A  #Hayotning adolatli va tartibli qonunlari
B  Ma’naviyatning yuksalishi
C  Insoniyatning qayta tug‘ilishi
D  Kosmik uyg‘unlik
223  Qadimgi Xitoyda Daosizm ta’limotining asoschisi kim edi?
A  #Laozi
B  Zhuangzi
C  Sun Tzu
D  Mozi
224  Qadimgi Hindistonda «Vedalar» kitobida qanday g‘oyalar ilgari surilgan?
A  #Tabiat va kosmos
B  Din va siyosat
C  Ijtimoiy adolat
D  Gumanizm va ma’naviyat
225  Qadimgi Xitoyda Konfutsiylikning asosiy maqsadi nima edi?
A  #Ijtimoiy va siyosiy tartibni mustahkamlash
B  Tabiatni tushunish
C  Ma’naviyatni oshirish
D  Insonlar o‘rtasida tenglik yaratish
226  Qadimgi Xitoyda Laozi «Daosizm» ta’limotini qanday yondashuvga asoslagan?
A  #Inson va tabiatning uyg‘unligi
B  Yangi jamiyat qurish
C  O‘zgarishlarga qarshi kurashish
D  Ijtimoiy tartibga qarshi tura olish
227  Qadimgi Xitoyda Konfutsiylik ta’limotining asosiy g‘oyasi nima?
A  #Jamiyatda tartibni saqlash
B  Ma’naviyatni rivojlantirish
C  Insonni tabiat bilan uyg‘unlashtirish
D  Insonlarning individualizmga erishish
228  O‘rta asr Sharq falsafasida ilm-fanning rivojlanishida qanday yirik shaxslar eng katta hissani qo‘shdilar?
A  #Ibn Sina va Ibn Rushd
B  Alisher Havoiy, Mirzo Bedil
C  Ogahiy va Umar Hayyom
D  Maxtumquli va Muqumiy
229  Jadidchlik harakatining namoyondalarini toping?
A  #A.Avloniy, M.Behbudiy, A.Fitrat
B  A.Navoiy, Gangaviy
C  Fuzuliy Ibn Sino
D  Ogahiy, Muqumiy, Maxtumquli
230  Abdulla Avloniyning «Navoiyshunoslik» asari qanday muhim falsafiy g‘oya ilgari surilgan?
A  #Yangi jamiyatni qurish uchun ilm va ma’naviyat zarur
B  Olamning modiy birligi
C  Ishlab chiqarish jarayonining muhimligi
D  Olamnining ziddiyatligi
231  O‘zbekistonda fan rivojlanishiga qanday yondashuv ustivor?
A  #Innovatsiyalar
B  Markazlashgan davlat tuzish
C  Falsafiy fikrni o'rganish va o'rgatish
D  Din va ilmni ajratish
232  Alisher Navoiy «Xamsa» asarida qanday asosiy g‘oyalarni ilgari surgan?
A  #Ilm va tafakkurning jamiyatdagi roli
B  Mustaqillik va siyosiy kuch
C  Do‘stlik va mehr-oqibat
D  Yaratilishning ilmiy tahlili
233  Mustaqillik davrida O‘zbekistonda ilm-fan rivojlanishining asosiy yo‘nalishlari qanday?
A  #Ta’lim va tarbiya
B  Yangi ilmiy dasturlar va xususiy tadqiqot markazlarini yaratish
C  Ilmiy xususiy sektorlarga ko‘proq e’tibor qaratish
D  Ilm-fanni davlat tomonidan boshqarish
234  Madaniy tarixiy tiplar nazariyasi kim tomonidan fanga kiritilgan? 
A  #N. Danilevskiy 
B  Kindiy 
C  Buxoriy
D  G’azzoliy
235  Qaysi olim jamiyatni gorizantal vertikal yo‘nalishlar va fluktuatsiya tarzida murakkab xarakterda bo‘lgan ijtimoiy madaniy tizimlarning rang-barangligini tan olish nuqtai-nazaridan tavsiflagan?
A  #P.A.Sorokin
B  O.shpengler
C  A.Toynbi
D  Danilevskiy
236  “Materializmdan inson ruhining tabiatini tushuntiruvchi tamoyil sifatida foydalanish hech qachon mumkin emas”, ushbu so‘zlarning muallifini toping?
A  #Kant
B  Diltey
C  K. Marks
D  Xaydegger
237  Jamiyatni muhim kichik tizimlarini ko‘rsating?
A  #Iqtisodiy, ijtimoiy, siyosiy, ma’naviy
B  Oilaviy, moddiy, siyosiy
C  Harbiy, mahalliy, iqtisodiy
D  Jamoaviy
238  Iqtisodiy kichik tizim bu...?
A  #Ishlab chiqarish faoliyatini va kishilarning bu jarayondagi munosabatlari shakllaring majmuidir
B  Siyosiy munosabatlar majmui
C  Harbiy munosabatlar majmui
D  Moddiy ishlab chikarish va diniy munosabatlar majmui
239  Individual ong bu...
A  #Ayrim insonda uning yashash sharoiti va ruhiy xususiyatlari ta’sirida shakllanadigan dunyoning subyektiv obrazi
B  Dunyoning obyektiv obrazi
C  Ommaviy ong turi
D  Siyosiy ong shakli
240  Ijtimoiy ongning darajalarini aniqlang?
A  #Kundalik va nazariy ong
B  Amaliy ong
C  Kundalik va amaliy ong
D  Amaliy va nazariy ong
241  Ijtimoiy ongning yaxlit tasviri qaysi tushunchalar yordamida yaraladi?
A  #Ijtimiy, diniy, ommaviy, individual  
B  Stratalar, kastalar
C  Mif , rivoyat
D  Sub'ektiv va ob'ektiv
242  Ijtimoiy borliq va guruhlarni birlashtiruvchi asosiy belgini aniqlang?
A  #Ehtiyojlar va manfaatlarning birligi 
B  Diniy ehtiyojlar
C  Moddiy ehtiyojlar
D  Ma’naviy va moddiy ehtiyojlar
243  Tarixiy rivojlanish jarayonida vujudga keladigan sinfiy, etnik, hududiy, ijtimoiy - siyosiy va boshqa guruhlar bu qanday guruhlar?
A  #Katta ijtimoiy guruhlar
B  Kichik ijtimoiy guruhlar
C  Etnik birliklar
D  Sinfiy birliklar
244  Etnik birliklarning ilk shaklini aniqlang?
A  #Urug‘
B  Oila
C  Individ
D  Mahalla
245  Davlat boshqaruv shakliga ko‘ra...
A  #Monarxiya va respublikaga bo‘linadi
B  Unitar 
C  Federativ
D  Unitar va federative
246  Shaxs jamiyat hayotining barcha jabhalarini qamrab oluvchi o‘ta serqirra hodisa bu...
A  #Madaniyat 
B  Ma’naviyat
C  Qadriyat
D  Iqtisodiyot
247   “Madaniyat” so‘zining ma’nosi qaysi javobda to‘g‘ri keltirilgan?
A  #Arabcha “madina” shahar degani
B  Davlat so‘zidan olingan
C  Inglizcha “uy” degani
D  Lotincha “kitob” so‘zidan olingan
248  Kim ko‘nikma va intizom madaniyatini farqlaydi?
A  #Kant
B  Rumiy
C  Ibn Ro’sht
D  Farobiy
249  Madaniyatning mohiyatini uning tizimi birligi ichki tamoyillaring mushtarakligi bilan belgilanganligini anglatadigan tushuncha bu...
A  #Endogenlik
B  O‘ziga xoslik
C  Madaniy meros
D  Madaniyat uzagi
250  Bilimning integral shakli sifatida falsafa qanday muayyan ilmiy tasavvurlarni sintez qiladi?
A  #Ijtimoiy hayot, jamiyat  tarixi, inson haqidagi tarix
B  Geografiya 
C  Fizika 
D  Kimyo
251  “Ilohiy shahar haqida” asarning muallifi kim? 
A  #A.Avgustin 
B  Akvinskiy 
C  Gegel 
D  Nisshe 
252  Qaysi faylasuf tarixga mutloq ruh, amaliy aql taraqqiyoti sifatida yondashadi?
A  #Gegel 
B  Kant 
C  Didro 
D  Kandorse
253  Tarix mazmuni tushunchasining eng teran talqinlarini qaysi faylasuf taklif qilgan? 
A  #K.Yaspers 
B  Sartr 
C  Nisshe 
D  Kant 
254  N.Berdyaevga ko‘ra tarix mazmunini qachon aniqlash mumkin?
A  #Tarix tugagandan keyin 
B  Tarixni boshlanishida 
C  Uning davomida 
D  Mahalliy ziddiyatlarda
255  Kont jamiyatning muhim institutlari sifatida nimalarni ko‘rsatadi?
A  #Oila, din, davlat 
B  Mahalla, huquq 
C  Oila, huquq 
D  Mahalla, din, davlat
256  Jamiyatning iqtisodiy asosini nima tashkil etadi?
A  #Moddiy ishlab chiqarish munosabatlari 
B  Ma’naviy bazis 
C  Sinfiy munosabatlar 
D  Mehnat munosabatlari 
257  Jamiyatning iqtisodiy asosida shakllangan va “alohida o‘ziga xos xususiyat”ga ega bo‘lgan tipi bu….? 
A  #Ijtimoiy – iqtisodiy formatsiya 
B  Mehnat formatsiyasi 
C  Kompleks - sistemali formatsiya 
D  Sivilizatsion formatsiya 
258  Quyidagi faylasuflardan qaysi biri jamiyatni tushunishni qadriyatlar tizimi bilan bog‘lagan? 
A  #E. Dyurkgeym 
B  Spenser 
C  Marks 
D  Engels 
259  Dyurkgeym ijtimoiy tuzilma dalillarining qaysi birlarini ko‘rsatib o‘tadi?
A  #Moddiy va ma’naviy qadriyatlar 
B  Madaniy meros 
C  Ijtimoiy ong 
D  Diniy ong 
260  Dyurkgeym ijtimoiy evolyusiyani nima bilan bog‘laydi?
A  #Mehnat 
B  Mulk
C  Oila 
D  Tabiiy tanlanish
261  “Protestantcha axloq va kapitalizm ruhi” asarining muallifi kim?
A  #M. Veber 
B  Rikkert 
C  Dyurkgeym 
